# combo=loongarch-glibc
# source=/mnt/d/OS/F7LY/tools/ltp/judge/v1/outputs/loongarch-glibc/parsed.tsv

Combo            | Case Name                | TPASS  | Summary    | Status       | End   
loongarch-glibc  | nanosleep04              | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | pidfd_open02             | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | pread02                  | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | pread02_64               | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | preadv01                 | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | preadv01_64              | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | pselect02                | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | pselect02_64             | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | pwritev01                | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | pwritev01_64             | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | sbrk01                   | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | semctl05                 | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | setitimer02              | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | setpgid02                | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | settimeofday02           | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | signal02                 | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | sigwait01                | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | syscall01                | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | tee02                    | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | timer_gettime01          | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | timerfd_gettime01        | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | vmsplice02               | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | wait401                  | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | write05                  | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | getdents01               | 2      | yes/4      | PASS         | 0     
loongarch-glibc  | recvmmsg01               | 2      | yes/4      | TIMEOUT      | 124   
loongarch-glibc  | setpgid03                | 2      | yes/4      | FAIL         | 2     
loongarch-glibc  | epoll_create01           | 2      | yes/3      | PASS         | 0     
loongarch-glibc  | epoll_create02           | 2      | yes/3      | PASS         | 0     
loongarch-glibc  | epoll_pwait01            | 2      | yes/3      | PASS         | 0     
loongarch-glibc  | abort01                  | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | alarm03                  | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | alarm06                  | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | alarm07                  | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | brk01                    | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | brk02                    | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | clone01                  | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | copy_file_range03        | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | dup01                    | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | dup02                    | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | dup04                    | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | dup207                   | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | dup3_01                  | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | epoll_create1_01         | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | epoll_create1_02         | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | eventfd05                | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | eventfd2_01              | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | eventfd2_02              | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | eventfd2_03              | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | faccessat02              | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | fcntl27                  | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | fcntl27_64               | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | fcntl38                  | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | fcntl38_64               | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | fork01                   | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | fork10                   | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | fstat03                  | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | fstat03_64               | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | fstatfs02                | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | fstatfs02_64             | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | ftruncate01              | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | ftruncate01_64           | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | futex_wait_bitset01      | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | getcontext01             | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | geteuid02                | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | getpgid02                | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | getpgrp01                | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | getpid02                 | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | getrandom05              | 2      | yes/2      | PASS         | 0     
loongarch-glibc  | getrlimit02              | 2      | yes/2      | PASS         | 0     
